Date,Store,Weekly_Sales
2010-02-05,1,1643690.9
2010-02-05,2,2136989.46
2010-02-05,3,461622.22
2010-02-05,4,2135143.87
2010-02-05,5,317173.1
2010-02-05,6,1652635.1
2010-02-05,7,496725.44
2010-02-05,8,1004137.09
2010-02-05,9,549505.55
2010-02-05,10,2193048.75
2010-02-05,11,1528008.64
2010-02-05,12,1100046.37
2010-02-05,13,1967220.53
2010-02-05,14,2623469.95
2010-02-05,15,652122.44
2010-02-05,16,477409.3
2010-02-05,17,789036.02
2010-02-05,18,1205307.5
2010-02-05,19,1507637.17
2010-02-05,20,2401395.47
2010-02-05,21,798593.88
2010-02-05,22,1033017.37
2010-02-05,23,1364721.58
2010-02-05,24,1388725.63
2010-02-05,25,677231.63
2010-02-05,26,1034119.21
2010-02-05,27,1874289.79
2010-02-05,28,1672352.29
2010-02-05,29,538634.46
2010-02-05,30,465108.52
2010-02-05,31,1469252.05
2010-02-05,32,1087616.19
2010-02-05,33,274593.43
2010-02-05,34,956228.96
2010-02-05,35,1230613.5
2010-02-05,36,467546.74
2010-02-05,37,536006.73
2010-02-05,38,358496.14
2010-02-05,39,1230596.8
2010-02-05,40,1001943.8
2010-02-05,41,1086533.18
2010-02-05,42,543384.01
2010-02-05,43,647029.28
2010-02-05,44,281090.95
2010-02-05,45,890689.51
2010-02-12,1,1641957.44
2010-02-12,2,2137809.5
2010-02-12,3,420728.96
2010-02-12,4,2188307.39
2010-02-12,5,311825.7
2010-02-12,6,1606283.86
2010-02-12,7,524104.92
2010-02-12,8,994801.4
2010-02-12,9,552677.48
2010-02-12,10,2176028.52
2010-02-12,11,1574684.08
2010-02-12,12,1117863.33
2010-02-12,13,2030933.46
2010-02-12,14,1704218.84
2010-02-12,15,682447.1
2010-02-12,16,472044.28
2010-02-12,17,841951.91
2010-02-12,18,1187880.7
2010-02-12,19,1536549.95
2010-02-12,20,2109107.9
2010-02-12,21,809321.44
2010-02-12,22,1022571.25
2010-02-12,23,1380892.08
2010-02-12,24,1414107.1
2010-02-12,25,583364.02
2010-02-12,26,1015684.09
2010-02-12,27,1745362.72
2010-02-12,28,1558968.49
2010-02-12,29,529672.95
2010-02-12,30,497374.57
2010-02-12,31,1543947.23
2010-02-12,32,1123566.12
2010-02-12,33,294882.83
2010-02-12,34,994610.99
2010-02-12,35,1168815.31
2010-02-12,36,469563.7
2010-02-12,37,529852.7
2010-02-12,38,342214.9
2010-02-12,39,1266229.07
2010-02-12,40,955338.29
2010-02-12,41,1075656.34
2010-02-12,42,575709.96
2010-02-12,43,682918.99
2010-02-12,44,286857.13
2010-02-12,45,656988.64
2010-02-19,1,1611968.17
2010-02-19,2,2124451.54
2010-02-19,3,421642.19
2010-02-19,4,2049860.26
2010-02-19,5,303447.57
2010-02-19,6,1567138.07
2010-02-19,7,506760.54
2010-02-19,8,963960.37
2010-02-19,9,511327.9
2010-02-19,10,2113432.58
2010-02-19,11,1503298.7
2010-02-19,12,1095421.65
2010-02-19,13,1970274.64
2010-02-19,14,2204556.7
2010-02-19,15,660838.75
2010-02-19,16,469868.7
2010-02-19,17,800714.0
2010-02-19,18,1150663.42
2010-02-19,19,1515976.11
2010-02-19,20,2161549.76
2010-02-19,21,867283.25
2010-02-19,22,988467.61
2010-02-19,23,1319588.04
2010-02-19,24,1385362.49
2010-02-19,25,676260.67
2010-02-19,26,999348.55
2010-02-19,27,1945070.33
2010-02-19,28,1491300.42
2010-02-19,29,542399.07
2010-02-19,30,463513.26
2010-02-19,31,1473386.75
2010-02-19,32,1082559.06
2010-02-19,33,296850.83
2010-02-19,34,983963.07
2010-02-19,35,1270658.64
2010-02-19,36,470281.03
2010-02-19,37,510382.5
2010-02-19,38,327237.92
2010-02-19,39,1230591.97
2010-02-19,40,916289.2
2010-02-19,41,1052034.74
2010-02-19,42,508794.87
2010-02-19,43,658997.55
2010-02-19,44,267956.3
2010-02-19,45,841264.04
2010-02-26,1,1409727.59
2010-02-26,2,1865097.27
